,id,score,avg_conf,wid,text
0,w0001_s01_pLND_r01,0.875,93.33622772749081,1,london
0,w0001_s01_pLND_r02,0.8863636363636364,92.3417433346019,1,london
0,w0001_s01_pLND_r03,0.8636363636363636,92.3093662037569,1,london
0,w0001_s02_pLND_r01,0.8636363636363636,92.7126177188962,1,london
0,w0001_s02_pLND_r02,0.8409090909090909,92.89605905869428,1,london
0,w0001_s02_pLND_r03,0.8068181818181819,91.6519021771171,1,london
0,w0001_s03_pLND_r01,0.8863636363636364,92.48841184728286,1,london
0,w0001_s03_pLND_r02,0.875,91.62427263581351,1,london
0,w0001_s03_pLND_r03,0.875,92.15544260810404,1,london
0,w0002_s01_pLND_r01,0.5454545454545454,78.62365663619269,2,london
0,w0002_s01_pLND_r02,0.44318181818181823,72.62326550483704,2,london
0,w0002_s01_pLND_r03,0.40909090909090906,78.78893044554157,2,london
0,w0002_s02_pLND_r01,0.4545454545454546,77.5044271629977,2,london
0,w0002_s02_pLND_r02,0.4204545454545454,75.0237440154666,2,london
0,w0002_s02_pLND_r03,0.3295454545454546,71.9361103773117,2,london
0,w0002_s03_pLND_r01,0.4545454545454546,74.55449373176299,2,london
0,w0002_s03_pLND_r02,0.44318181818181823,76.15893978296324,2,london
0,w0002_s03_pLND_r03,0.34090909090909094,75.56741443757087,2,london
0,w0003_s01_pLND_r01,0.7272727272727273,90.81400292008011,3,london
0,w0003_s01_pLND_r02,0.7840909090909091,90.78295303526379,3,london
0,w0003_s01_pLND_r03,0.7386363636363636,92.02926061211562,3,london
0,w0003_s02_pLND_r01,0.75,94.85012165705363,3,london
0,w0003_s02_pLND_r02,0.875,90.69574158450207,3,london
0,w0003_s02_pLND_r03,0.8068181818181819,92.04940814063663,3,london
0,w0003_s03_pLND_r01,0.8409090909090909,94.00640388937558,3,london
0,w0003_s03_pLND_r02,0.9204545454545454,94.12061584827512,3,london
0,w0003_s03_pLND_r03,0.8522727272727273,92.53194188497153,3,london
0,w0004_s01_pLND_r01,0.8409090909090909,96.19753869374593,4,london
0,w0004_s01_pLND_r02,0.46590909090909094,80.052701656635,4,london
0,w0004_s01_pLND_r03,0.5113636363636364,79.54056103198559,4,london
0,w0004_s02_pLND_r01,0.5795454545454546,86.69915616652546,4,london
0,w0004_s02_pLND_r02,0.5,87.199908235338,4,london
0,w0004_s02_pLND_r03,0.375,79.63688429011854,4,london
0,w0004_s03_pLND_r01,0.8181818181818181,92.74155493842231,4,london
0,w0004_s03_pLND_r02,0.6136363636363636,85.0102632522583,4,london
0,w0004_s03_pLND_r03,0.5454545454545454,79.99801305282948,4,london
0,w0005_s01_pLND_r01,0.6818181818181819,89.45592335620559,5,london
0,w0005_s01_pLND_r02,0.7386363636363636,87.79242286682128,5,london
0,w0005_s01_pLND_r03,0.6931818181818181,89.87540684868307,5,london
0,w0005_s02_pLND_r01,0.7045454545454546,85.53972856858198,5,london
0,w0005_s02_pLND_r02,0.6818181818181819,85.61480257884566,5,london
0,w0005_s02_pLND_r03,0.5795454545454546,85.1292454439051,5,london
0,w0005_s03_pLND_r01,0.6704545454545454,85.56200183730527,5,london
0,w0005_s03_pLND_r02,0.6363636363636364,89.84595121820288,5,london
0,w0005_s03_pLND_r03,0.6590909090909092,85.91719202768235,5,london
0,w0006_s01_pLND_r01,0.8863636363636364,94.74200721014114,6,london
0,w0006_s01_pLND_r02,0.8863636363636364,95.9395390222239,6,london
0,w0006_s01_pLND_r03,0.9090909090909091,97.32993232372195,6,london
0,w0006_s02_pLND_r01,0.9204545454545454,95.90890647089759,6,london
0,w0006_s02_pLND_r02,0.9318181818181819,95.4010389418829,6,london
0,w0006_s02_pLND_r03,0.9318181818181819,95.74553168903698,6,london
0,w0006_s03_pLND_r01,0.9204545454545454,96.82610615816984,6,london
0,w0006_s03_pLND_r02,0.9318181818181819,96.69299225474514,6,london
0,w0006_s03_pLND_r03,0.9090909090909091,96.31492758358226,6,london
0,w0009_s01_pLND_r01,0.9318181818181819,95.69586370131549,9,london
0,w0009_s01_pLND_r02,0.9090909090909091,96.04011612846737,9,london
0,w0009_s01_pLND_r03,0.9318181818181819,93.49584295583325,9,london
0,w0009_s02_pLND_r01,0.8977272727272727,95.33317154929752,9,london
0,w0009_s02_pLND_r02,0.8636363636363636,94.47271877886301,9,london
0,w0009_s02_pLND_r03,0.9090909090909091,92.79845006606158,9,london
0,w0009_s03_pLND_r01,0.9431818181818182,95.17449875765068,9,london
0,w0009_s03_pLND_r02,0.8977272727272727,95.85474561803481,9,london
0,w0009_s03_pLND_r03,0.8636363636363636,93.57315371409956,9,london
0,w0010_s01_pLND_r01,0.8636363636363636,94.63932910597468,10,london
